0	  0
1	  0
2	  0
3	  0
4	  0
5	  0
6	  0
7	  0
8	  0
9	  0
10	  0
11	  0
12	  0
13	  0
14	  0
15	  0
16	  0
17	  0
18	  0
19	  0
20	  0
21	  0
22	  0
23	  0
24	  1
25	  3
26	  12
27	  26
28	  36
29	  82
30	  116
31	  155
32	  205
33	  262
34	  341
35	  463
36	  561
37	  675
38	  831
39	  1017
40	  1114
41	  1391
42	  1559
43	  1723
44	  1785
45	  2015
46	  1994
47	  2050
48	  2074
49	  2141
50	  2014
51	  2021
52	  1855
53	  1779
54	  1717
55	  1635
56	  1531
57	  1367
58	  1242
59	  1282
60	  1063
61	  980
62	  943
63	  953
64	  851
65	  856
66	  765
67	  808
68	  783
69	  791
70	  874
71	  800
72	  772
73	  858
74	  909
75	  903
76	  841
77	  912
78	  938
79	  954
80	  903
81	  902
82	  894
83	  934
84	  930
85	  983
86	  1065
87	  991
88	  1126
89	  1130
90	  1152
91	  1178
92	  1281
93	  1349
94	  1460
95	  1586
96	  1759
97	  1800
98	  2031
99	  1943
100	  1943
101	  1966
102	  1864
103	  1860
104	  1686
105	  1708
106	  1533
107	  1458
108	  1417
109	  1363
110	  1385
111	  1282
112	  1400
113	  1431
114	  1345
115	  1386
116	  1403
117	  1532
118	  1565
119	  1550
120	  1641
121	  1836
122	  1891
123	  1944
124	  2124
125	  2205
126	  2340
127	  2338
128	  2417
129	  2430
130	  2304
131	  2230
132	  2194
133	  1979
134	  1980
135	  1877
136	  1886
137	  1975
138	  2112
139	  2218
140	  2251
141	  2279
142	  2440
143	  2443
144	  2429
145	  2338
146	  2269
147	  2269
148	  2239
149	  2257
150	  2281
151	  2300
152	  2538
153	  2652
154	  2787
155	  2674
156	  2667
157	  2506
158	  2246
159	  2179
160	  1977
161	  1777
162	  1688
163	  1533
164	  1478
165	  1363
166	  1267
167	  1261
168	  1220
169	  1175
170	  1178
171	  1309
172	  1256
173	  1307
174	  1168
175	  1198
176	  1195
177	  1124
178	  1027
179	  922
180	  888
181	  779
182	  725
183	  662
184	  615
185	  619
186	  675
187	  664
188	  641
189	  678
190	  793
191	  769
192	  928
193	  924
194	  951
195	  952
196	  905
197	  896
198	  810
199	  841
200	  877
201	  884
202	  863
203	  887
204	  922
205	  1022
206	  991
207	  1079
208	  1058
209	  1016
210	  976
211	  910
212	  967
213	  755
214	  608
215	  530
216	  441
217	  378
218	  317
219	  268
220	  243
221	  204
222	  179
223	  164
224	  104
225	  80
226	  66
227	  45
228	  39
229	  21
230	  17
231	  6
232	  5
233	  5
234	  5
235	  1
236	  0
237	  0
238	  1
239	  0
240	  0
241	  2
242	  0
243	  0
244	  1
245	  1
246	  0
247	  0
248	  0
249	  0
250	  0
251	  0
252	  0
253	  0
254	  0
255	  0
